Sydney,Sydney End,NSW Metro,NSW Metro End,NSW Country,NSW Country End,Melbourne,Melbourne End,VIC Metro,VIC Metro End,VIC Country,VIC Country End,Brisbane,Brisbane End,QLD Metro,QLD Metro End,QLD Country,QLD Country End,Adelaide,Adelaide End,SA Metro,SA Metro End,SA Country,SA Country End,Perth,Perth End,WA Metro,WA Metro End,WA Country,WA Country End,Hobart,Hobart End,TAS Country,TAS Country End,Other,Other End
NSW,NSW,NSW,NSW,NSW,NSW,VIC,VIC,VIC,VIC,VIC,VIC,QLD,QLD,QLD,QLD,QLD,QLD,SA,SA,SA,SA,SA,SA,WA,WA,WA,WA,WA,WA,TAS,TAS,TAS,TAS,NT,NT
Inter State Capital,Inter State Capital,Inter State Metro,Inter State Metro,Inter State Remote,Inter State Remote,Local,Local,Same State Metro,Same State Metro,Same State Remote,Same State Remote,Inter State Capital,Inter State Capital,Inter State Metro,Inter State Metro,Inter State Remote,Inter State Remote,Inter State Capital,Inter State Capital,Inter State Metro,Inter State Metro,Inter State Remote,Inter State Remote,Inter State Capital,Inter State Capital,Inter State Metro,Inter State Metro,Inter State Remote,Inter State Remote,Inter State Metro,Inter State Metro,Inter State Remote,Inter State Remote,Inter State Remote,Inter State Remote
1000,1935,2080,2084,2264,2281,3000,3062,3063,0,2648,0,4000,4018,4019,4028,4309,4453,5000,5113,5114,0,2880,2889,6000,6030,6031,6035,6215,6700,7000,7019,7020,7049,800,802
2000,2079,2108,0,2311,2484,3064,3098,3099,3100,2715,0,4029,4068,4069,4071,4580,4693,5115,5117,5118,5124,5201,5749,6036,0,6037,6049,6701,6797,7050,7053,7054,0,804,821
2085,2107,2157,0,2487,2499,3101,3138,3139,0,2717,2719,4072,4123,4124,4126,4454,4499,5125,5130,5131,5157,0,0,6050,6066,6067,6068,0,0,7055,7108,7109,7150,828,851
2109,2156,2159,0,2533,2554,3140,3210,3335,3341,2731,2739,4127,4129,4130,0,4694,4802,5158,5169,5170,5200,0,0,6069,0,6070,6075,0,0,7172,0,7155,7171,853,853
2158,0,2173,0,2575,2599,3800,3801,3427,3443,3221,3334,4131,4132,4133,4150,4804,4805,5800,5999,0,0,0,0,6076,0,6077,6089,0,0,7248,7254,7173,7247,860,861
2160,2172,2230,2231,2621,2639,8000,8999,3750,3799,3342,3349,4151,4164,4165,4168,9920,9960,0,0,0,0,0,0,6090,6110,6111,0,0,0,7258,7329,7255,7257,870,871
2174,2229,2508,2514,2642,2647,9999,0,3802,3811,3351,3352,4169,4182,4183,4204,4803,0,0,0,0,0,0,0,6112,6120,6121,6146,0,0,7800,7999,7330,7799,873,879
2232,2249,2555,2556,2649,2707,0,0,3910,3920,3357,3426,4205,4206,4207,4209,4806,4999,0,0,0,0,0,0,6147,6160,6161,0,0,0,0,0,0,0,906,999
