"Zone","Post.Code","Destination.zone","State"
"Sydney","1000","Inter State Capital","NSW"
"Sydney","1001","Inter State Capital","NSW"
"Sydney","1002","Inter State Capital","NSW"
"Sydney","1003","Inter State Capital","NSW"
"Sydney","1004","Inter State Capital","NSW"
"Sydney","1005","Inter State Capital","NSW"
"Sydney","1006","Inter State Capital","NSW"
"Sydney","1007","Inter State Capital","NSW"
"Sydney","1008","Inter State Capital","NSW"
"Sydney","1009","Inter State Capital","NSW"
"Sydney","1010","Inter State Capital","NSW"
"Sydney","1011","Inter State Capital","NSW"
"Sydney","1012","Inter State Capital","NSW"
"Sydney","1013","Inter State Capital","NSW"
"Sydney","1014","Inter State Capital","NSW"
"Sydney","1015","Inter State Capital","NSW"
"Sydney","1016","Inter State Capital","NSW"
"Sydney","1017","Inter State Capital","NSW"
"Sydney","1018","Inter State Capital","NSW"
"Sydney","1019","Inter State Capital","NSW"
"Sydney","1020","Inter State Capital","NSW"
"Sydney","1021","Inter State Capital","NSW"
"Sydney","1022","Inter State Capital","NSW"
"Sydney","1023","Inter State Capital","NSW"
"Sydney","1024","Inter State Capital","NSW"
"Sydney","1025","Inter State Capital","NSW"
"Sydney","1026","Inter State Capital","NSW"
"Sydney","1027","Inter State Capital","NSW"
"Sydney","1028","Inter State Capital","NSW"
"Sydney","1029","Inter State Capital","NSW"
"Sydney","1030","Inter State Capital","NSW"
"Sydney","1031","Inter State Capital","NSW"
"Sydney","1032","Inter State Capital","NSW"
"Sydney","1033","Inter State Capital","NSW"
"Sydney","1034","Inter State Capital","NSW"
"Sydney","1035","Inter State Capital","NSW"
"Sydney","1036","Inter State Capital","NSW"
"Sydney","1037","Inter State Capital","NSW"
"Sydney","1038","Inter State Capital","NSW"
"Sydney","1039","Inter State Capital","NSW"
"Sydney","1040","Inter State Capital","NSW"
"Sydney","1041","Inter State Capital","NSW"
"Sydney","1042","Inter State Capital","NSW"
"Sydney","1043","Inter State Capital","NSW"
"Sydney","1044","Inter State Capital","NSW"
"Sydney","1045","Inter State Capital","NSW"
"Sydney","1046","Inter State Capital","NSW"
"Sydney","1047","Inter State Capital","NSW"
"Sydney","1048","Inter State Capital","NSW"
"Sydney","1049","Inter State Capital","NSW"
"Sydney","1050","Inter State Capital","NSW"
"Sydney","1051","Inter State Capital","NSW"
"Sydney","1052","Inter State Capital","NSW"
"Sydney","1053","Inter State Capital","NSW"
"Sydney","1054","Inter State Capital","NSW"
"Sydney","1055","Inter State Capital","NSW"
"Sydney","1056","Inter State Capital","NSW"
"Sydney","1057","Inter State Capital","NSW"
"Sydney","1058","Inter State Capital","NSW"
"Sydney","1059","Inter State Capital","NSW"
"Sydney","1060","Inter State Capital","NSW"
"Sydney","1061","Inter State Capital","NSW"
"Sydney","1062","Inter State Capital","NSW"
"Sydney","1063","Inter State Capital","NSW"
"Sydney","1064","Inter State Capital","NSW"
